date,phase,arm,ticker,event_type,qty,price,gross,cost,net_settlement,settle_date,reason,score,split
2018-04-05,1,V0_BASELINE,BRSR6,rebalance_buy,499,20.0,9980.0,2.495,-9982.495,2018-04-05,TARGET_TOPN_ENTRY,,TRAIN
2018-04-05,1,V0_BASELINE,CPFE3,rebalance_buy,405,24.64,9979.2,2.4948,-9981.694800000001,2018-04-05,TARGET_TOPN_ENTRY,,TRAIN
2018-04-05,1,V0_BASELINE,EALT4,rebalance_buy,1847,5.41,9992.27,2.4980675000000003,-9994.768067500001,2018-04-05,TARGET_TOPN_ENTRY,,TRAIN
2018-04-05,1,V0_BASELINE,KLBN3,rebalance_buy,1287,7.7624,9990.2088,2.4975522000000003,-9992.7063522,2018-04-05,TARGET_TOPN_ENTRY,,TRAIN
2018-04-05,1,V0_BASELINE,REDE3,rebalance_buy,1763,5.67,9996.21,2.4990525,-9998.709052499999,2018-04-05,TARGET_TOPN_ENTRY,,TRAIN
2018-04-05,1,V0_BASELINE,S1TX34,rebalance_buy,51,193.36669999999998,9861.7017,2.465425425,-9864.167125425,2018-04-05,TARGET_TOPN_ENTRY,,TRAIN
2018-04-05,1,V0_BASELINE,SHOW3,rebalance_buy,91,109.5,9964.5,2.4911250000000003,-9966.991125,2018-04-05,TARGET_TOPN_ENTRY,,TRAIN
2018-04-05,1,V0_BASELINE,SUZB3,rebalance_buy,273,36.5,9964.5,2.4911250000000003,-9966.991125,2018-04-05,TARGET_TOPN_ENTRY,,TRAIN
2018-04-05,1,V0_BASELINE,TRIS3,rebalance_buy,4346,2.3,9995.8,2.49895,-9998.298949999999,2018-04-05,TARGET_TOPN_ENTRY,,TRAIN
2018-04-05,1,V0_BASELINE,UNIP3,rebalance_buy,385,25.9091,9975.003499999999,2.493750875,-9977.497250875,2018-04-05,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,1,V0_BASELINE,REDE3,defensive_sell,1763,5.01,8832.63,2.2081575,8830.4218425,2018-04-13,V0_SCORE,6.0,TRAIN
2018-04-12,1,V0_BASELINE,S1TX34,defensive_sell,12,202.707846,2432.4941519999998,0.608123538,2431.8860284619996,2018-04-13,V0_SCORE,4.0,TRAIN
2018-04-13,1,V0_BASELINE,KLBN3,defensive_sell,1287,6.901,8881.587,2.22039675,8879.366603249999,2018-04-17,V0_SCORE,6.0,TRAIN
2018-04-16,1,V0_BASELINE,A2XO34,rebalance_buy,176,8.1793395,1439.5637519999998,0.35989093799999994,-1439.9236429379998,2018-04-16,TARGET_TOPN_ENTRY,,TRAIN
2018-04-16,1,V0_BASELINE,D1EX34,rebalance_buy,1151,1.251798705,1440.820309455,0.36020507736374996,-1441.1805145323638,2018-04-16,TARGET_TOPN_ENTRY,,TRAIN
2018-04-16,1,V0_BASELINE,E2NP34,rebalance_buy,2656,0.54272592,1441.48004352,0.36037001088,-1441.84041353088,2018-04-16,TARGET_TOPN_ENTRY,,TRAIN
2018-04-16,1,V0_BASELINE,ENGI11,rebalance_buy,47,30.0727,1413.4169,0.35335422499999997,-1413.770254225,2018-04-16,TARGET_TOPN_ENTRY,,TRAIN
2018-04-16,1,V0_BASELINE,F1TN34,rebalance_buy,74,19.4476788,1439.1282311999998,0.35978205779999994,-1439.4880132577998,2018-04-16,TARGET_TOPN_ENTRY,,TRAIN
2018-04-16,1,V0_BASELINE,NFLX34,rebalance_buy,683,2.109093228,1440.510674724,0.360127668681,-1440.8708023926808,2018-04-16,TARGET_TOPN_ENTRY,,TRAIN
2018-04-16,1,V0_BASELINE,REDE3,rebalance_buy,281,5.13,1441.53,0.3603825,-1441.8903825,2018-04-16,TARGET_TOPN_ENTRY,,TRAIN
2018-04-16,1,V0_BASELINE,RSUL4,rebalance_buy,273,5.281,1441.713,0.36042825,-1442.07342825,2018-04-16,TARGET_TOPN_ENTRY,,TRAIN
2018-04-16,1,V0_BASELINE,BRSR6,rebalance_sell,499,18.99,9476.009999999998,2.3690024999999997,9473.640997499999,2018-04-18,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-16,1,V0_BASELINE,CPFE3,rebalance_sell,405,24.27,9829.35,2.4573375,9826.8926625,2018-04-18,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-16,1,V0_BASELINE,EALT4,rebalance_sell,1847,5.249,9694.903,2.42372575,9692.47927425,2018-04-18,OUTSIDE_TARGET_TOPN,,TRAIN
