date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum,phase_offset,cadence
2018-07-02,100024.58299999998,100024.58299999998,0.0,0,0,0.0,1,0.00024583,C08_P2,10,15,8,0.15,0.2,0.2,0,0,1,0,0,0,0,0,0,0,0,5246.863909086118,2,8
2018-07-03,100049.17204323887,100049.17204323887,0.0,0,0,0.0,1,0.00024583,C08_P2,10,15,8,0.15,0.2,0.2,0,0,2,0,0,0,0,0,0,0,0,5246.863909086118,2,8
2018-07-04,100024.1664668717,0.9384390556845679,0.0,0,7,0.15002536133075486,1,0.00024583,C08_P2,10,15,8,0.15,0.2,0.2,1,1,2,0,0,0,0,0,0,0,0,5246.863909086118,2,8
2018-07-05,101433.31781956014,0.9386697521576267,0.0,0,7,0.15339120699648107,1,0.00024583,C08_P2,10,15,8,0.15,0.2,0.2,0,1,3,0,0,0,0,0,0,0,0,5246.863909086118,2,8
2018-07-06,104149.64732242534,0.9389005053427996,0.0,0,7,0.15796905063986225,1,0.00024583,C08_P2,10,15,8,0.15,0.2,0.2,0,1,4,0,0,0,0,0,0,0,0,5246.863909086118,2,8
2018-07-10,102759.48611311127,0.9391313152540279,0.0,0,7,0.15861599482464075,1,0.00024583,C08_P2,10,15,8,0.15,0.2,0.2,0,1,5,0,0,0,0,0,0,0,0,5246.863909086118,2,8
2018-07-11,101801.8656814019,0.9393621819052568,0.0,0,7,0.1572560036520005,1,0.00024583,C08_P2,10,15,8,0.15,0.2,0.2,0,1,6,0,0,1,0,0,0,0,0,5246.863909086118,2,8
2018-07-12,103549.61110158532,0.9395931053104345,0.0,0,7,0.1579595565641828,1,0.00024583,C08_P2,10,15,8,0.15,0.2,0.2,0,1,7,0,0,1,0,0,0,0,0,5246.863909086118,2,8
2018-07-13,102787.76380903547,0.9398240854835128,0.0,0,7,0.1570774244526928,1,0.00024583,C08_P2,10,15,8,0.15,0.2,0.2,0,1,8,0,0,1,0,0,0,0,0,5246.863909086118,2,8
2018-07-16,102587.11367609944,0.9400551224384471,0.0,0,7,0.15969622599457955,1,0.00024583,C08_P2,10,15,8,0.15,0.2,0.2,0,1,9,0,0,1,0,0,0,0,0,5246.863909086118,2,8
