date,phase,arm,ticker,event_type,qty,price,gross,cost,net_settlement,settle_date,reason,score,split
2018-04-09,3,M2_PARTIAL,CPFE3,rebalance_buy,409,24.39,9975.51,2.4938775,-9978.0038775,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,M2_PARTIAL,EALT4,rebalance_buy,1851,5.4,9995.400000000001,2.4988500000000005,-9997.898850000001,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,M2_PARTIAL,GOLL54,rebalance_buy,111,90.0556,9996.1716,2.4990429,-9998.6706429,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,M2_PARTIAL,KLBN3,rebalance_buy,1296,7.7129,9995.9184,2.4989796,-9998.417379600001,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,M2_PARTIAL,REDE3,rebalance_buy,1782,5.61,9997.02,2.4992550000000002,-9999.519255000001,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,M2_PARTIAL,RSUL4,rebalance_buy,1893,5.281,9996.932999999999,2.4992332499999996,-9999.43223325,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,M2_PARTIAL,SUZB3,rebalance_buy,270,36.97,9981.9,2.495475,-9984.395475,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,M2_PARTIAL,TRIS3,rebalance_buy,4450,2.2462,9995.59,2.4988975,-9998.0888975,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,M2_PARTIAL,UNIP3,rebalance_buy,392,25.4545,9978.164,2.4945410000000003,-9980.658541,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,M2_PARTIAL,UNIP5,rebalance_buy,390,25.5909,9980.451000000001,2.49511275,-9982.946112750002,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-10,3,M2_PARTIAL,GOLL54,defensive_sell,55,88.2474,4853.607,1.21340175,4852.39359825,2018-04-12,M2_PARTIAL_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-10,3,M2_PARTIAL,KLBN3,defensive_sell,648,7.505,4863.24,1.21581,4862.02419,2018-04-12,M2_PARTIAL_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-10,3,M2_PARTIAL,REDE3,defensive_sell,891,5.02,4472.82,1.118205,4471.701795,2018-04-12,M2_PARTIAL_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-10,3,M2_PARTIAL,TRIS3,defensive_sell,2225,2.3077,5134.632500000001,1.283658125,5133.348841875,2018-04-12,M2_PARTIAL_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-10,3,M2_PARTIAL,UNIP3,defensive_sell,196,25.4545,4989.082,1.2472705000000002,4987.8347295,2018-04-12,M2_PARTIAL_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-11,3,M2_PARTIAL,GOLL54,defensive_sell,56,85.7316,4800.9696,1.2002424,4799.7693576,2018-04-13,M2_PARTIAL_SECOND_SIGNAL_FULL,6.0,TRAIN
