date,phase,arm,ticker,event_type,qty,price,gross,cost,net_settlement,settle_date,reason,score,split
2018-04-10,4,M3_COMBO,A2XO34,rebalance_buy,1250,7.995930833333333,9994.913541666667,2.498728385416667,-9997.412270052084,2018-04-10,TARGET_TOPN_ENTRY,,TRAIN
2018-04-10,4,M3_COMBO,CPFE3,rebalance_buy,408,24.5,9996.0,2.499,-9998.499,2018-04-10,TARGET_TOPN_ENTRY,,TRAIN
2018-04-10,4,M3_COMBO,KLBN3,rebalance_buy,1332,7.505,9996.66,2.499165,-9999.159165,2018-04-10,TARGET_TOPN_ENTRY,,TRAIN
2018-04-10,4,M3_COMBO,REDE3,rebalance_buy,1991,5.02,9994.82,2.498705,-9997.318705,2018-04-10,TARGET_TOPN_ENTRY,,TRAIN
2018-04-10,4,M3_COMBO,RSUL4,rebalance_buy,1893,5.281,9996.932999999999,2.4992332499999996,-9999.43223325,2018-04-10,TARGET_TOPN_ENTRY,,TRAIN
2018-04-10,4,M3_COMBO,SUZB3,rebalance_buy,271,36.77,9964.67,2.4911675,-9967.1611675,2018-04-10,TARGET_TOPN_ENTRY,,TRAIN
2018-04-10,4,M3_COMBO,TEND3,rebalance_buy,769,13.0,9997.0,2.49925,-9999.49925,2018-04-10,TARGET_TOPN_ENTRY,,TRAIN
2018-04-10,4,M3_COMBO,TRIS3,rebalance_buy,4332,2.3077,9996.956400000001,2.4992391000000005,-9999.4556391,2018-04-10,TARGET_TOPN_ENTRY,,TRAIN
2018-04-10,4,M3_COMBO,UNIP3,rebalance_buy,392,25.4545,9978.164,2.4945410000000003,-9980.658541,2018-04-10,TARGET_TOPN_ENTRY,,TRAIN
2018-04-10,4,M3_COMBO,UNIP5,rebalance_buy,388,25.7273,9982.1924,2.4955481,-9984.6879481,2018-04-10,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,4,M3_COMBO,KLBN3,defensive_sell,666,7.3762,4912.5491999999995,1.2281373,4911.3210627,2018-04-13,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-11,4,M3_COMBO,REDE3,defensive_sell,995,5.01,4984.95,1.2462374999999999,4983.7037625,2018-04-13,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-11,4,M3_COMBO,TRIS3,defensive_sell,2166,2.3231,5031.8346,1.25795865,5030.5766413500005,2018-04-13,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-11,4,M3_COMBO,UNIP3,defensive_sell,196,25.3727,4973.0491999999995,1.2432622999999998,4971.805937699999,2018-04-13,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-12,4,M3_COMBO,REDE3,defensive_sell,996,5.25,5229.0,1.30725,5227.69275,2018-04-16,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-04-12,4,M3_COMBO,TEND3,defensive_sell,384,12.96,4976.64,1.2441600000000002,4975.39584,2018-04-16,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-12,4,M3_COMBO,TRIS3,defensive_sell,2166,2.2615,4898.409,1.22460225,4897.184397749999,2018-04-16,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-04-12,4,M3_COMBO,UNIP3,defensive_sell,196,25.5455,5006.918,1.2517295,5005.6662705,2018-04-16,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-04-12,4,M3_COMBO,UNIP5,defensive_sell,194,25.1818,4885.2692,1.2213173,4884.0478827,2018-04-16,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-13,4,M3_COMBO,CPFE3,defensive_sell,204,24.45,4987.8,1.24695,4986.55305,2018-04-17,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-13,4,M3_COMBO,KLBN3,defensive_sell,333,6.901,2298.033,0.5745082499999999,2297.45849175,2018-04-17,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-16,4,M3_COMBO,CPFE3,defensive_sell,204,24.27,4951.08,1.23777,4949.84223,2018-04-18,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-04-16,4,M3_COMBO,KLBN3,defensive_sell,333,6.9307,2307.9231,0.576980775,2307.346119225,2018-04-18,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-04-16,4,M3_COMBO,UNIP5,defensive_sell,97,25.6818,2491.1346,0.62278365,2490.5118163499997,2018-04-18,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
